budget,genres,release_date,revenue,runtime,status,title,vote_average,vote_count,profitability,prof
215000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}]",1999,248000000,81,Released,The Blair Witch Project,6.3,1055,115348.84%,115348.8372
215000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}]",2007,193355800,86,Released,Paranormal Activity,5.9,1316,89932.93%,89932.93023
10000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}]",1977,7000000,89,Released,Eraserhead,7.5,485,70000.00%,70000
12000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",1972,6000000,93,Released,Pink Flamingos,6.2,110,50000.00%,50000
65000,"[{""id"": 99, ""name"": ""Documentary""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",2004,28575078,100,Released,Super Size Me,6.6,506,43961.66%,43961.65846
100000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",2015,42664410,87,Released,The Gallows,4.9,361,42664.41%,42664.41
130000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",2004,54667954,79,Released,Open Water,5.4,315,42052.27%,42052.27231
85000,"[{""id"": 27, ""name"": ""Horror""}]",1974,30859000,83,Released,The Texas Chain Saw Massacre,7.2,590,36304.71%,36304.70588
858000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",1942,267447150,70,Released,Bambi,6.8,1405,31171.00%,31170.9965
100000,"[{""id"": 35, ""name"": ""Comedy""}]",1969,27000000,69,Released,The Stewardesses,4.3,5,27000.00%,27000
114000,"[{""id"": 27, ""name"": ""Horror""}]",1968,30000000,96,Released,Night of the Living Dead,7.5,580,26315.79%,26315.78947
400000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",1979,100000000,93,Released,Mad Max,6.6,1213,25000.00%,25000
300000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",1978,70000000,91,Released,Halloween,7.4,1035,23333.33%,23333.33333
777000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",1973,140000000,110,Released,American Graffiti,6.9,324,18018.02%,18018.01802
160000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",2007,20710513,85,Released,Once,7.3,453,12944.07%,12944.07063
1488423,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",1937,184925486,83,Released,Snow White and the Seven Dwarfs,6.9,1914,12424.26%,12424.25614
1000000,"[{""id"": 18, ""name"": ""Drama""}]",1976,117235147,119,Released,Rocky,7.5,1791,11723.51%,11723.5147
27000,"[{""id"": 35, ""name"": ""Comedy""}]",1994,3151130,92,Released,Clerks,7.4,755,11670.85%,11670.85185
400000,"[{""id"": 35, ""name"": ""Comedy""}]",2004,46118097,95,Released,Napoleon Dynamite,6.7,554,11529.52%,11529.52425
100000,"[{""id"": 18, ""name"": ""Drama""}]",2006,10178331,111,Released,Facing the Giants,6.6,64,10178.33%,10178.331
1000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 27, ""name"": ""Horror""}]",2012,101758490,83,Released,The Devil Inside,4.6,262,10175.85%,10175.849
150000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",1971,15200000,97,Released,Sweet Sweetback's Baadasssss Song,4.6,18,10133.33%,10133.33333
4000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",1939,400176459,238,Released,Gone with the Wind,7.7,970,10004.41%,10004.41148
245000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",1925,22000000,151,Released,The Big Parade,7,21,8979.59%,8979.591837
1200000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 80, ""name"": ""Crime""}]",2004,103911669,103,Released,Saw,7.2,2184,8659.31%,8659.30575
350000,"[{""id"": 27, ""name"": ""Horror""}]",1981,29400000,85,Released,The Evil Dead,7.3,894,8400.00%,8400
10500000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",1982,792910554,115,Released,E.T. the Extra-Terrestrial,7.3,3269,7551.53%,7551.529086
5000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",2002,368744044,95,Released,My Big Fat Greek Wedding,6.2,671,7374.88%,7374.88088
3500000,"[{""id"": 35, ""name"": ""Comedy""}]",1997,257850122,91,Released,The Full Monty,6.8,363,7367.15%,7367.146343
200000,"[{""id"": 37, ""name"": ""Western""}]",1964,14500000,99,Released,A Fistful of Dollars,7.6,883,7250.00%,7250
11000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",1977,775398007,121,Released,Star Wars,8.1,6624,7049.07%,7049.072791
7000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 12, ""name"": ""Adventure""}]",1975,470654000,124,Released,Jaws,7.5,2542,6723.63%,6723.628571
500000,"[{""id"": 18, ""name"": ""Drama""}]",2008,33456317,122,Released,Fireproof,7,100,6691.26%,6691.2634
